Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment

D16        D_0201          25.000mm      67.400mm      25.000mm      67.400mm      25.000mm      67.660mm  T       270.000 5.5V
D17        D_0201          25.000mm      69.000mm      25.000mm      69.000mm      25.000mm      68.740mm  T        90.000 5.5V
D18        D_0201          75.000mm      72.900mm      75.000mm      72.900mm      75.000mm      73.160mm  T       270.000 5.5V
D19        D_0201          75.000mm      74.500mm      75.000mm      74.500mm      75.000mm      74.240mm  T        90.000 5.5V
D20        D_0201          75.000mm      67.400mm      75.000mm      67.400mm      75.000mm      67.660mm  T       270.000 5.5V
D21        D_0201          75.000mm      69.000mm      75.000mm      69.000mm      75.000mm      68.740mm  T        90.000 5.5V
D22        D_0201          50.000mm      72.900mm      50.000mm      72.900mm      50.000mm      73.160mm  T       270.000 5.5V
D23        D_0201          50.000mm      74.500mm      50.000mm      74.500mm      50.000mm      74.240mm  T        90.000 5.5V
D24        D_0201          50.000mm      67.400mm      50.000mm      67.400mm      50.000mm      67.660mm  T       270.000 5.5V
D25        D_0201          50.000mm      69.000mm      50.000mm      69.000mm      50.000mm      68.740mm  T        90.000 5.5V
D26        D_0201           0.000mm      72.900mm       0.000mm      72.900mm       0.000mm      73.160mm  T       270.000 5.5V
D27        D_0201           0.000mm      74.500mm       0.000mm      74.500mm       0.000mm      74.240mm  T        90.000 5.5V
D28        D_0201           0.200mm      67.400mm       0.200mm      67.400mm       0.200mm      67.660mm  T       270.000 5.5V
D29        D_0201           0.200mm      69.000mm       0.200mm      69.000mm       0.200mm      68.740mm  T        90.000 5.5V
J13        Pin_Header_Straight_2x03_Pitch 63.550mm     -14.300mm      63.550mm     -14.300mm      61.010mm     -16.825mm  T        90.000 M20-8760342
L1         SRN1060-XXXM      31.300mm      56.900mm      31.300mm      56.900mm      34.600mm      56.900mm  T       180.000 100uH_0.7A
L2         SRN1060-XXXM      81.300mm      56.900mm      81.300mm      56.900mm      84.600mm      56.900mm  T       180.000 100uH_0.7A
L3         SRN1060-XXXM      56.300mm      56.900mm      56.300mm      56.900mm      59.600mm      56.900mm  T       180.000 100uH_0.7A
L4         SRN1060-XXXM       6.300mm      56.900mm       6.300mm      56.900mm       9.600mm      56.900mm  T       180.000 100uH_0.7A
Q2         SOT-23          28.500mm      43.700mm      28.500mm      43.700mm      29.500mm      42.750mm  T       180.000 BSS84P
Q4         SOT-23          78.500mm      43.700mm      78.500mm      43.700mm      79.500mm      42.750mm  T       180.000 BSS84P
Q6         SOT-23          53.500mm      43.700mm      53.500mm      43.700mm      54.500mm      42.750mm  T       180.000 BSS84P
Q8         SOT-23           3.500mm      43.700mm       3.500mm      43.700mm       4.500mm      42.750mm  T       180.000 BSS84P
R1         R_0603           2.000mm      -5.400mm       2.000mm      -5.400mm       1.250mm      -5.400mm  T         0.000 10K
R2         R_0603          25.900mm      44.200mm      25.900mm      44.200mm      25.900mm      43.450mm  T        90.000 300
R3         R_0603          40.700mm      14.700mm      40.700mm      14.700mm      40.700mm      13.950mm  T        90.000 100K
R4         R_0603          32.700mm      32.700mm      32.700mm      32.700mm      32.700mm      33.450mm  T       270.000 715
R5         R_0603          41.700mm      53.100mm      41.700mm      53.100mm      42.450mm      53.100mm  T       180.000 6.81K
R6         R_0603          41.700mm      51.700mm      41.700mm      51.700mm      40.950mm      51.700mm  T         0.000 976
R7         R_0603          75.900mm      44.200mm      75.900mm      44.200mm      75.900mm      43.450mm  T        90.000 300
R8         R_0603          90.700mm      14.700mm      90.700mm      14.700mm      90.700mm      13.950mm  T        90.000 100K
R9         R_0603          82.700mm      32.700mm      82.700mm      32.700mm      82.700mm      33.450mm  T       270.000 715
R10        R_0603          91.700mm      53.100mm      91.700mm      53.100mm      92.450mm      53.100mm  T       180.000 6.81K
R11        R_0603          91.700mm      51.700mm      91.700mm      51.700mm      90.950mm      51.700mm  T         0.000 976
R12        R_0603          50.900mm      44.200mm      50.900mm      44.200mm      50.900mm      43.450mm  T        90.000 300
R13        R_0603          65.700mm      14.700mm      65.700mm      14.700mm      65.700mm      13.950mm  T        90.000 100K
R14        R_0603          57.700mm      32.700mm      57.700mm      32.700mm      57.700mm      33.450mm  T       270.000 715
R15        R_0603          66.700mm      53.100mm      66.700mm      53.100mm      67.450mm      53.100mm  T       180.000 6.81K
R16        R_0603          66.700mm      51.700mm      66.700mm      51.700mm      65.950mm      51.700mm  T         0.000 976
R17        R_0603           0.900mm      44.200mm       0.900mm      44.200mm       0.900mm      43.450mm  T        90.000 300
R18        R_0603          15.700mm      14.700mm      15.700mm      14.700mm      15.700mm      13.950mm  T        90.000 100K
R19        R_0603           7.700mm      32.700mm       7.700mm      32.700mm       7.700mm      33.450mm  T       270.000 715
R20        R_0603          16.700mm      53.100mm      16.700mm      53.100mm      17.450mm      53.100mm  T       180.000 6.81K
R21        R_0603          16.700mm      51.700mm      16.700mm      51.700mm      15.950mm      51.700mm  T         0.000 976
R22        R_0603          70.000mm      -7.550mm      70.000mm      -7.550mm      70.000mm      -6.800mm  T       270.000 10K
U1         SOT-223-3Lead_TabPin2 81.371mm      -6.175mm      81.371mm      -6.175mm      84.521mm      -8.475mm  T       180.000 NCP1117-5.0_SOT223
U2         SOIC-8_3.9x4.9mm_Pitch1.27mm 38.500mm     -11.300mm      38.500mm     -11.300mm      36.595mm     -14.000mm  T        90.000 MCP2561-E/SN
U3         TQFP-32_7x7mm_Pitch0.8mm 50.000mm     -10.250mm      50.000mm     -10.250mm      45.750mm      -7.450mm  T         0.000 ATMEGA16M1-AU
U4         HTSSOP-14-1EP_4.4x6.5mm_Pitch0 37.500mm      34.700mm      37.500mm      34.700mm      40.300mm      32.750mm  T       180.000 TPS1H100AQPWPRQ1
U5         SOIC-8_3.9x4.9mm_Pitch1.27mm 26.900mm       2.700mm      26.900mm       2.700mm      24.995mm       0.000mm  T        90.000 ISO7320FC
